trip_id,start_time,end_time,headway_secs
TR_RID_CARRE1_MUTUAL_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE1_MUTUAL_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE1_FOUSSI_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE1_FOUSSI_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE1_MEDIAP_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE1_MEDIAP_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE1_STEF01_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE1_STEF01_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE1_ESATKA_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE1_ESATKA_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE2_SCM01_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE2_SCM01_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE2_MUTUAL_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE2_MUTUAL_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE2_FOUSSI_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE2_FOUSSI_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE2_MEDIAP_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE2_MEDIAP_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE2_STEF01_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE2_STEF01_zAll_R,07:00:00,20:30:00,1200
TR_RID_CARRE2_ESATKA_zAll_A,07:00:00,20:30:00,1200
TR_RID_CARRE2_ESATKA_zAll_R,07:00:00,20:30:00,1200
TR_RID_SCM01_MUTUAL_zAll_A,07:00:00,20:30:00,1200
TR_RID_SCM01_MUTUAL_zAll_R,07:00:00,20:30:00,1200
TR_RID_SCM01_FOUSSI_zAll_A,07:00:00,20:30:00,1200
TR_RID_SCM01_FOUSSI_zAll_R,07:00:00,20:30:00,1200
TR_RID_SCM01_MEDIAP_zAll_A,07:00:00,20:30:00,1200
TR_RID_SCM01_MEDIAP_zAll_R,07:00:00,20:30:00,1200
TR_RID_SCM01_STEF01_zAll_A,07:00:00,20:30:00,1200
TR_RID_SCM01_STEF01_zAll_R,07:00:00,20:30:00,1200
TR_RID_SCM01_ESATKA_zAll_A,07:00:00,20:30:00,1200
TR_RID_SCM01_ESATKA_zAll_R,07:00:00,20:30:00,1200
TR_RID_MUTUAL_FOUSSI_zAll_A,07:00:00,20:30:00,1200
TR_RID_MUTUAL_FOUSSI_zAll_R,07:00:00,20:30:00,1200
TR_RID_MUTUAL_MEDIAP_zAll_A,07:00:00,20:30:00,1200
TR_RID_MUTUAL_MEDIAP_zAll_R,07:00:00,20:30:00,1200
TR_RID_MUTUAL_STEF01_zAll_A,07:00:00,20:30:00,1200
TR_RID_MUTUAL_STEF01_zAll_R,07:00:00,20:30:00,1200
TR_RID_MUTUAL_ESATKA_zAll_A,07:00:00,20:30:00,1200
