shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40123,47.997138,0.180137,100003,2.748
40123,47.997359,0.180414,100004,2.780
40123,47.997508,0.180551,100005,2.800
40123,47.997682,0.180673,100006,2.821
40123,47.998119,0.180989,100007,2.875
40123,47.998179,0.181030,100008,2.882
40123,47.998643,0.181368,100009,2.940
40123,47.998751,0.181444,100010,2.953
40123,47.998901,0.181556,100011,2.972
40123,47.999047,0.181664,100012,2.990
40123,47.999221,0.181800,100013,3.012
40123,47.999330,0.181891,100014,3.026
40123,47.999475,0.182035,100015,3.045
40123,47.999475,0.182035,110001,3.045
40123,47.999516,0.182075,110002,3.050
40123,47.999555,0.182113,110003,3.056
40123,47.999696,0.182259,110004,3.075
40123,47.999767,0.182331,110005,3.084
40123,47.999847,0.182411,110006,3.095
40123,47.999933,0.182496,110007,3.106
40123,48.000083,0.182645,110008,3.127
40123,48.000124,0.182688,110009,3.132
40123,48.000146,0.182711,110010,3.135
40123,48.000280,0.182847,110011,3.153
40123,48.000361,0.182929,110012,3.164
40123,48.000698,0.183286,110013,3.210
40123,48.000809,0.183405,110014,3.225
40123,48.000893,0.183543,110015,3.239
40123,48.000958,0.183647,110016,3.250
40123,48.000997,0.183845,110017,3.265
40123,48.001036,0.184047,110018,3.281
40123,48.001036,0.184224,110019,3.294
40123,48.001036,0.184224,120001,3.294
40123,48.001035,0.184542,120002,3.318
40123,48.001051,0.185658,120003,3.401
40123,48.001052,0.185765,120004,3.409
40123,48.001064,0.186896,120005,3.493
40123,48.001067,0.187082,120006,3.507
40123,48.001077,0.187787,120007,3.560
40123,48.001077,0.187787,130001,3.560
40123,48.001082,0.188130,130002,3.586
40123,48.001093,0.188759,130003,3.632
40123,48.001095,0.188943,130004,3.646
40123,48.001096,0.189062,130005,3.655
40123,48.001102,0.189561,130006,3.692
40123,48.001111,0.190441,130007,3.758
40123,48.001114,0.190655,130008,3.774
40123,48.001114,0.190686,130009,3.776
40123,48.001092,0.190785,130010,3.784
40123,48.001121,0.190986,130011,3.799
40123,48.001251,0.191064,130012,3.815
40123,48.002007,0.191249,130013,3.900
40123,48.002170,0.191286,130014,3.918
40123,48.002165,0.191378,130015,3.925
40123,48.002164,0.191389,130016,3.926
40123,48.002168,0.191486,130017,3.933
40123,48.002301,0.191961,130018,3.972
40123,48.002426,0.192405,130019,4.008
40123,48.002426,0.192405,140001,4.008
40123,48.002500,0.192668,140002,4.029
40123,48.002511,0.192707,140003,4.032
40123,48.002598,0.193111,140004,4.064
40123,48.002693,0.193222,140005,4.077
40123,48.002747,0.193270,140006,4.084
40123,48.002784,0.193280,140007,4.088
40123,48.002898,0.193310,140008,4.101
40123,48.003064,0.193355,140009,4.120
40123,48.003426,0.193452,140010,4.161
40123,48.003482,0.193468,140011,4.167
40123,48.004189,0.193659,140012,4.247
40123,48.004236,0.193670,140013,4.252
40123,48.004292,0.193685,140014,4.259
40123,48.004550,0.193720,140015,4.287
40127,47.984437,0.141995,10001,0.000
40127,47.984437,0.142003,10002,0.001
40127,47.984435,0.142049,10003,0.004
40127,47.984439,0.142093,10004,0.007
40127,47.984461,0.142179,10005,0.014
40127,47.984504,0.142286,10006,0.024
40127,47.984529,0.142330,10007,0.028
40127,47.984558,0.142366,10008,0.032
40127,47.984576,0.142396,10009,0.035
40127,47.984585,0.142412,10010,0.036
40127,47.984591,0.142429,10011,0.038
40127,47.984565,0.142570,10012,0.049
40127,47.984508,0.142816,10013,0.068
40127,47.984389,0.143219,10014,0.101
40127,47.984242,0.143740,10015,0.143
40127,47.984077,0.144581,10016,0.209
40127,47.984054,0.144700,10017,0.218
40127,47.983958,0.145365,10018,0.269
40127,47.983913,0.145733,10019,0.297
40127,47.983883,0.146357,10020,0.343
40127,47.983876,0.146656,10021,0.366
40127,47.983873,0.146743,10022,0.372
40127,47.983856,0.147681,10023,0.442
40127,47.983856,0.148553,10024,0.507
40127,47.983855,0.148762,10025,0.523
40127,47.983837,0.148869,10026,0.531
40127,47.983791,0.148939,10027,0.538
40127,47.983813,0.149083,10028,0.549
40127,47.983812,0.149194,10029,0.558
40127,47.983811,0.149211,10030,0.559
40127,47.983802,0.149545,10031,0.584
40127,47.983794,0.149846,10032,0.607
40127,47.983763,0.150586,10033,0.662
40127,47.983742,0.150783,10034,0.677
40127,47.983731,0.150828,10035,0.680
40127,47.983728,0.150890,10036,0.685
40127,47.983682,0.150890,10037,0.690
40127,47.983639,0.150914,10038,0.695
40127,47.983603,0.150958,10039,0.700
40127,47.983580,0.151017,10040,0.706
40127,47.983571,0.151084,10041,0.711
40127,47.983576,0.151143,10042,0.715
40127,47.983592,0.151197,10043,0.719
40127,47.983617,0.151243,10044,0.724
40127,47.983651,0.151275,10045,0.728
40127,47.983689,0.151291,10046,0.733
40127,47.983729,0.151289,10047,0.737
40127,47.983722,0.151342,10048,0.741
40127,47.983722,0.151395,10049,0.745
40127,47.983722,0.151427,10050,0.748
40127,47.983723,0.151587,10051,0.759
40127,47.983723,0.151587,20001,0.759
40127,47.983725,0.151690,20002,0.767
40127,47.983675,0.153027,20003,0.867
40127,47.983669,0.153196,20004,0.880
40127,47.983661,0.153443,20005,0.898
40127,47.983652,0.153830,20006,0.927
40127,47.983654,0.154041,20007,0.943
40127,47.983668,0.154221,20008,0.956
40127,47.983710,0.154484,20009,0.977
40127,47.983816,0.155121,20010,1.026
40127,47.983858,0.155373,20011,1.045
40127,47.983916,0.155614,20012,1.064
40127,47.983943,0.155673,20013,1.069
40127,47.983958,0.155706,20014,1.072
40127,47.983938,0.155736,20015,1.076
40127,47.983925,0.155775,20016,1.079
40127,47.983921,0.155818,20017,1.082
40127,47.983928,0.155860,20018,1.085
40127,47.983944,0.155896,20019,1.089
40127,47.983967,0.155924,20020,1.092
40127,47.983994,0.155937,20021,1.095
40127,47.983998,0.155989,20022,1.099
40127,47.984004,0.156075,20023,1.105
40127,47.984024,0.156405,20024,1.130
40127,47.984028,0.156428,20025,1.132
40127,47.984028,0.156428,30001,1.132
40127,47.984060,0.156629,30002,1.147
40127,47.984125,0.157028,30003,1.178
40127,47.984275,0.157940,30004,1.248
40127,47.984340,0.158314,30005,1.277
40127,47.984411,0.158722,30006,1.308
40127,47.984423,0.158793,30007,1.314
40127,47.984429,0.158830,30008,1.317
40127,47.984461,0.159071,30009,1.335
40127,47.984464,0.159095,30010,1.337
40127,47.984483,0.159259,30011,1.349
40127,47.984487,0.159337,30012,1.355
40127,47.984530,0.160167,30013,1.417
40127,47.984539,0.160314,30014,1.428
40127,47.984561,0.160459,30015,1.439
40127,47.984603,0.160672,30016,1.456
40127,47.984675,0.160848,30017,1.471
40127,47.984865,0.161271,30018,1.509
40127,47.985085,0.161764,30019,1.554
40127,47.985150,0.161912,30020,1.567
40127,47.985168,0.161951,30021,1.570
40127,47.985240,0.162117,30022,1.585
40127,47.985240,0.162117,40001,1.585
40127,47.985377,0.162430,40002,1.613
40127,47.985480,0.162662,40003,1.634
40127,47.985795,0.163379,40004,1.698
40127,47.985823,0.163440,40005,1.703
40127,47.985841,0.163480,40006,1.707
40127,47.985870,0.163542,40007,1.712
40127,47.986006,0.163862,40008,1.741
40127,47.986035,0.163931,40009,1.747
40127,47.986035,0.163931,50001,1.747
40127,47.986078,0.164032,50002,1.756
40127,47.986111,0.164110,50003,1.763
40127,47.986354,0.164612,50004,1.809
40127,47.986371,0.164647,50005,1.812
40127,47.986462,0.164808,50006,1.828
40127,47.986562,0.164956,50007,1.843
40127,47.986590,0.164996,50008,1.848
40127,47.986626,0.165049,50009,1.853
40127,47.986853,0.165422,50010,1.891
40127,47.986903,0.165495,50011,1.899
40127,47.987074,0.165743,50012,1.925
40127,47.987315,0.166026,50013,1.960
40127,47.987364,0.166083,50014,1.966
40127,47.987547,0.166255,50015,1.990
40127,47.987836,0.166444,50016,2.026
40127,47.987929,0.166491,50017,2.037
40127,47.987999,0.166529,50018,2.045
40127,47.988109,0.166592,50019,2.058
40127,47.988109,0.166592,60001,2.058
40127,47.988255,0.166678,60002,2.075
40127,47.989384,0.167359,60003,2.211
40127,47.989606,0.167535,60004,2.239
40127,47.989644,0.167575,60005,2.244
40127,47.989700,0.167634,60006,2.252
40127,47.989829,0.167789,60007,2.270
40127,47.989878,0.167879,60008,2.279
40127,47.989878,0.167879,70001,2.279
40127,47.989917,0.167949,70002,2.285
40127,47.990044,0.168235,70003,2.311
40127,47.990108,0.168381,70004,2.324
40127,47.990321,0.168860,70005,2.367
40127,47.990647,0.169594,70006,2.433
40127,47.990971,0.170357,70007,2.500
40127,47.991564,0.171756,70008,2.623
40127,47.991642,0.171940,70009,2.640
40127,47.991801,0.172272,70010,2.670
40127,47.991801,0.172272,80001,2.670
40127,47.991879,0.172433,80002,2.685
40127,47.991916,0.172508,80003,2.692
40127,47.991973,0.172630,80004,2.703
40127,47.992078,0.172850,80005,2.723
40127,47.992168,0.173029,80006,2.740
40127,47.992253,0.173198,80007,2.756
40127,47.992289,0.173272,80008,2.762
40127,47.992343,0.173378,80009,2.772
40127,47.992409,0.173493,80010,2.784
40127,47.992646,0.173908,80011,2.824
40127,47.992717,0.174033,80012,2.837
40127,47.992728,0.174050,80013,2.838
40127,47.992742,0.174076,80014,2.841
40127,47.992791,0.174158,80015,2.849
40127,47.993132,0.174746,80016,2.907
40127,47.993155,0.174787,80017,2.911
40127,47.993344,0.175067,80018,2.941
40127,47.993493,0.175289,80019,2.964
40127,47.993677,0.175556,80020,2.993
40127,47.994164,0.176189,80021,3.064
40127,47.994232,0.176277,80022,3.075
40127,47.994232,0.176277,90001,3.075
40127,47.994347,0.176425,90002,3.091
40127,47.994385,0.176481,90003,3.097
40127,47.994738,0.176925,90004,3.149
40127,47.994794,0.177006,90005,3.157
40127,47.994834,0.177055,90006,3.163
40127,47.995328,0.177692,90007,3.236
40127,47.995371,0.177748,90008,3.242
40127,47.995488,0.177896,90009,3.259
40127,47.995488,0.177896,100001,3.259
40127,47.995684,0.178148,100002,3.288
40127,47.995707,0.178177,100003,3.291
40127,47.995776,0.178267,100004,3.301
40127,47.995842,0.178353,100005,3.311
40127,47.996266,0.178901,100006,3.374
40127,47.996324,0.178980,100007,3.382
40127,47.996525,0.179247,100008,3.412
40127,47.996716,0.179511,100009,3.441
40127,47.996752,0.179561,100010,3.447
40127,47.996952,0.179857,100011,3.478
40127,47.996952,0.179857,110001,3.478
40127,47.997068,0.180026,110002,3.496
40127,47.997138,0.180137,110003,3.507
40127,47.997359,0.180414,110004,3.540
