stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
2511,GOU2,Léopold Gouloumes,,48.020984,0.330934,,,0,PLA_LEOPO,1
2346,GPA1,Gabriel Paillereau,,47.973127,0.147626,,,0,PLA_GABRI,1
2345,GPA2,Gabriel Paillereau,,47.973135,0.147776,,,0,PLA_GABRI,1
1079,GR03,Gares,,47.996108,0.192407,,,0,PLA_GAREN,1
1078,GR04,Gares,,47.995788,0.193448,,,0,PLA_GAREN,1
2370,GRA1,Grand Bois,,48.011496,0.219570,,,0,PLA_GBOIS,2
2371,GRA2,Grand Bois,,48.011583,0.219485,,,0,PLA_GBOIS,2
2375,GRE1,Grémillon,,48.013589,0.163772,,,0,PLA_GREMI,1
2374,GRE2,Grémillon,,48.013554,0.163565,,,0,PLA_GREMI,2
2377,GRN1,Grenoble,,47.976104,0.234003,,,0,PLA_GRENO,1
2376,GRN2,Grenoble,,47.976670,0.233868,,,0,PLA_GRENO,1
2348,GRO1,Gare Routière,,47.996926,0.190323,,,0,PLA_GARER,1
2976,GRR1,Grand Rolland,,48.067673,0.085547,,,0,PLA_GRROL,1
2349,GRS1,Gare Sud,,47.994986,0.189882,,,0,PLA_GARES,2
2379,GRU1,Grues Rouges,,48.054985,0.167454,,,0,PLA_GRUES,2
2378,GRU2,Grues Rouges,,48.055028,0.167651,,,0,PLA_GRUES,1
1032,GU01,Guetteloup-Pôle Santé Sud,,47.964293,0.221155,,,0,PLA_GUETT,1
1031,GU02,Guetteloup-Pôle Santé Sud,,47.964222,0.221185,,,0,PLA_GUETT,1
2381,GUE1,Gué Bernisson,,47.992010,0.237565,,,0,PLA_GUEBE,1
2380,GUE2,Gué Bernisson,,47.992375,0.237164,,,0,PLA_GUEBE,1
2383,GUR1,Guéranger,,48.004074,0.214480,,,0,PLA_GUERA,2
2382,GUR2,Guéranger,,48.004039,0.214802,,,0,PLA_GUERA,2
2385,GUT1,Guetteloup,,47.965452,0.222957,,,0,PLA_GUETT,1
3096,GYM1,Gymnase,,48.059659,0.143309,,,0,PLA_GYMNA,1
3097,GYM2,Gymnase,,48.059662,0.143063,,,0,PLA_GYMNA,1
3098,GYM3,Gymnase,,48.059110,0.142932,,,0,PLA_GYMNA,1
3099,GYM4,Gymnase,,48.059098,0.142770,,,0,PLA_GYMNA,1
2516,HAL1,Les Halles,,48.004547,0.193781,,,0,PLA_LESHA,1
3223,HDZ1,Hôpital Dégré,,48.015333,0.181325,,,0,PLA_HOPIT,1
2392,HEN1,Hendaye,,48.024188,0.197375,,,0,PLA_HENDA,2
2393,HEN2,Hendaye,,48.024087,0.197076,,,0,PLA_HENDA,2
2395,HER1,Hermitage,,47.906255,0.241231,,,0,PLA_HERMI,1
2394,HER2,Hermitage,,47.906174,0.241001,,,0,PLA_HERMI,1
1083,HM03,Hautes Métairies,,47.952719,0.165427,,,0,PLA_LEHMA,1
1082,HM04,Hautes Métairies,,47.952590,0.165258,,,0,PLA_LEHMA,1
1036,HO01,Hôpital,,48.013549,0.175511,,,0,PLA_HOPIT,1
1035,HO02,Hôpital,,48.013416,0.175597,,,0,PLA_HOPIT,1
2520,HOR1,Les Horizons,,48.057256,0.166467,,,0,PLA_LESHO,1
2521,HOR2,Les Horizons,,48.057545,0.166426,,,0,PLA_LESHO,1
2399,HOU1,Houdouard,,48.066800,0.102811,,,0,PLA_HOUDO,1
